City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Mar Del Plata,AR,-38.0023,-57.5575,57.22,58,75,11.5,broken clouds
166,Butaritari,KI,3.0707,172.7902,81.32,78,60,17.76,light rain
167,San Lawrenz,MT,36.0553,14.204,81.86,79,0,5.55,clear sky
168,Tarko-Sale,RU,64.9225,77.785,49.32,68,6,7.54,clear sky
169,Oloron-Sainte-Marie,FR,43.1944,-0.6107,90.97,47,72,7.27,broken clouds
170,Esperance,AU,-33.8667,121.9,56.08,72,30,20.02,scattered clouds
171,Karaton,ID,-6.3424,106.1045,73.76,91,54,0.92,broken clouds
172,Dzaoudzi,YT,-12.7887,45.2699,75.09,78,20,5.75,few clouds
173,Thompson,CA,55.7435,-97.8558,71.8,32,2,5.93,clear sky
174,Longyearbyen,SJ,78.2186,15.6401,49.84,76,75,11.5,broken clouds
175,Cabo San Lucas,MX,22.8909,-109.9124,94.6,68,99,4.0,overcast clouds
176,Aquidauana,BR,-20.4711,-55.7872,67.64,43,0,7.36,clear sky
177,Guerrero Negro,MX,27.9769,-114.0611,84.52,51,31,13.91,scattered clouds
178,Mayo,US,38.8876,-76.5119,94.3,74,32,1.99,light rain
179,Borodino,RU,55.9106,94.8983,55.15,94,11,4.76,few clouds
180,Dikson,RU,73.5069,80.5464,42.13,94,99,8.12,overcast clouds
181,Sur,OM,22.5667,59.5289,86.83,62,100,13.73,overcast clouds
182,Tres Picos,MX,15.8667,-93.5333,89.02,60,46,4.88,scattered clouds
183,East London,ZA,-33.0153,27.9116,54.54,94,0,3.44,clear sky
184,Khandyga,RU,62.6667,135.6,55.87,94,100,0.83,overcast clouds
185,Nchelenge,ZM,-9.3451,28.734,69.57,38,34,4.9,scattered clouds
186,Latehar,IN,23.75,84.5,74.84,94,100,4.76,overcast clouds
187,Sterling,US,39.0062,-77.4286,93.88,66,40,5.75,scattered clouds
188,Manadhoo,MV,5.7667,73.3833,80.94,85,11,14.97,few clouds
189,Half Moon Bay,US,37.4636,-122.4286,80.06,67,0,10.36,clear sky
190,Iglesias,IT,39.3114,8.535,79.79,66,0,0.94,clear sky
191,Manoel Urbano,BR,-8.8389,-69.2597,85.78,41,27,5.91,scattered clouds
192,Coquimbo,CL,-29.9533,-71.3436,56.93,82,40,11.5,scattered clouds
193,Vangaindrano,MG,-23.35,47.6,66.24,81,100,7.7,light rain
194,Rio Gallegos,AR,-51.6226,-69.2181,46.45,71,75,8.05,broken clouds
195,Lompoc,US,34.6391,-120.4579,88.7,64,20,9.22,few clouds
196,Surgut,RU,61.25,73.4167,60.98,63,0,8.99,clear sky
197,Aguililla,MX,18.7333,-102.7333,73.26,85,100,1.57,overcast clouds
198,Davila,PH,18.4726,120.5763,76.98,81,100,4.7,heavy intensity rain
199,Shimoda,JP,34.6667,138.95,77.11,85,99,4.32,overcast clouds
200,San Fernando,PH,15.0286,120.6898,80.33,88,100,1.79,overcast clouds
201,Port Hardy,CA,50.6996,-127.4199,63.84,79,100,5.06,overcast clouds
202,Acarau,BR,-2.8856,-40.12,82.09,66,3,18.86,clear sky
203,Caluquembe,AO,-13.7833,14.6833,64.47,15,0,0.65,clear sky
204,Cabra,ES,37.4725,-4.4421,88.66,48,0,5.01,clear sky
205,Vaitape,PF,-16.5167,-151.75,76.64,72,0,4.29,light rain
206,Zabid,YE,14.1951,43.3152,85.71,67,100,6.58,light rain
207,Namatanai,PG,-3.6667,152.4333,78.58,82,99,4.38,light rain
208,Nome,US,64.5011,-165.4064,48.16,93,100,6.8,overcast clouds
209,Cuamba,MZ,-14.8031,36.5372,74.08,34,94,1.41,overcast clouds
210,Port Macquarie,AU,-31.4333,152.9167,46.89,89,23,4.65,few clouds
211,Lesnoy,RU,57.6198,63.0784,66.49,77,100,4.12,overcast clouds
212,Hinton,CA,53.4001,-117.5857,85.17,27,0,0.69,clear sky
213,Poum,NC,-20.2333,164.0167,69.22,59,0,22.15,clear sky
214,Hirara,JP,24.8,125.2833,84.97,70,12,7.65,few clouds
215,Narsaq,GL,60.9167,-46.05,47.77,63,100,6.69,overcast clouds
216,Vrnjacka Banja,RS,43.6167,20.9,76.23,59,67,4.61,broken clouds
217,Omboue,GA,-1.5746,9.2618,72.14,85,27,8.68,scattered clouds
218,Nanuque,BR,-17.8392,-40.3539,92.5,21,27,11.83,scattered clouds
219,North Adams,US,42.7009,-73.1087,79.2,65,7,1.01,clear sky
220,Chimbote,PE,-9.0853,-78.5783,67.23,70,30,11.27,scattered clouds
221,Currais Novos,BR,-6.2608,-36.5178,83.97,41,4,14.58,clear sky
222,Pisco,PE,-13.7,-76.2167,64.02,77,75,11.5,broken clouds
223,Cherskiy,RU,68.75,161.3,55.69,72,0,3.02,clear sky
224,Penhold,CA,52.1334,-113.8687,72.84,54,72,5.79,broken clouds
225,Orlik,RU,52.5178,99.825,47.43,84,48,2.42,scattered clouds
226,Port Lincoln,AU,-34.7333,135.8667,51.08,80,35,19.62,scattered clouds
227,Linxia,CN,35.6003,103.2064,69.08,87,97,2.64,overcast clouds
228,Alice Springs,AU,-23.7,133.8833,58.55,58,100,10.36,overcast clouds
229,Shepsi,RU,44.0361,39.1489,77.97,68,9,4.59,moderate rain
230,Safaga,EG,26.7292,33.9365,92.07,37,17,14.52,few clouds
231,Lamu,KE,-2.2717,40.902,73.62,85,98,15.86,light rain
232,Junction City,US,39.0286,-96.8314,90.39,29,0,10.13,clear sky
233,Xuddur,SO,4.1213,43.8894,72.75,79,88,20.56,light rain
234,Tiarei,PF,-17.5333,-149.3333,78.82,75,45,10.29,moderate rain
235,Hofn,IS,64.2539,-15.2082,55.42,71,20,13.8,haze
236,Mutata,CO,7.2441,-76.4356,84.27,83,100,1.95,overcast clouds
237,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,87,75,14.97,broken clouds
238,Marawi,PH,7.9986,124.2928,68.29,87,93,1.86,overcast clouds
239,Husavik,IS,66.0449,-17.3389,45.54,87,94,13.24,overcast clouds
240,Turukhansk,RU,65.8167,87.9833,44.92,79,23,6.42,few clouds
241,Ler,SS,8.3018,30.1418,75.9,87,100,3.89,light rain
242,Flinders,AU,-34.5833,150.8552,54.37,84,66,1.99,broken clouds
243,Naujamiestis,LT,55.6869,24.1523,60.19,73,84,3.62,broken clouds
244,Makakilo City,US,21.3469,-158.0858,80.69,67,100,4.61,overcast clouds
245,Huarmey,PE,-10.0681,-78.1522,68.74,67,13,11.23,few clouds
246,Luena,AO,-11.7833,19.9167,61.52,24,0,3.51,clear sky
247,Andenes,NO,69.3143,16.1194,57.18,88,75,16.11,light rain
248,Tasiilaq,GL,65.6145,-37.6368,38.8,81,100,6.69,overcast clouds
249,Saint-Augustin,CA,51.226,-58.6502,66.85,47,0,10.92,clear sky
250,Ulaanbaatar,MN,47.9077,106.8832,50.13,87,20,2.24,few clouds
251,Krasnogorsk,RU,55.8225,37.3181,66.45,59,0,8.95,clear sky
252,Viedma,AR,-40.8135,-62.9967,62.56,33,24,22.19,few clouds
253,Dzilam Gonzalez,MX,21.2833,-88.9333,93.25,46,35,5.97,scattered clouds
254,Umm Lajj,SA,25.0213,37.2685,91.69,52,26,13.15,moderate rain
